trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 1.0}",20,0,-68.44195095921019,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
2,False,"{'a': 0.01, 'e': 0.9999500004166653}",25,0,-227.77206303876852,"{0: 12, 1: 1, 2: 7, 3: 2, 4: 3}",0
3,False,"{'a': 0.01, 'e': 0.9998000066665778}",20,0,-253.64737891676072,"{0: 8, 1: 1, 2: 4, 3: 3, 4: 4}",0
4,False,"{'a': 0.01, 'e': 0.9995500337489875}",20,0,-119.66030829577488,"{0: 10, 1: 4, 2: 3, 3: 2, 4: 1}",0
5,False,"{'a': 0.01, 'e': 0.9992001066609779}",35,0,-233.71885083686274,"{0: 19, 1: 3, 2: 8, 3: 2, 4: 3}",0
6,False,"{'a': 0.01, 'e': 0.9987502603949663}",30,21,-37.322217991931545,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
7,False,"{'a': 0.01, 'e': 0.9982005399352042}",30,0,-219.29369372138933,"{0: 15, 1: 3, 2: 6, 3: 4, 4: 2}",0
8,False,"{'a': 0.01, 'e': 0.9975510002532796}",20,0,-79.94906215343302,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
9,False,"{'a': 0.01, 'e': 0.9968017063026194}",25,0,-162.26071166036152,"{0: 12, 1: 5, 2: 5, 3: 1, 4: 2}",0
10,False,"{'a': 0.01, 'e': 0.9959527330119943}",20,0,-107.74631844515167,"{0: 10, 1: 3, 2: 4, 3: 3, 4: 0}",0
11,False,"{'a': 0.01, 'e': 0.9950041652780257}",35,0,-187.51813695830194,"{0: 21, 1: 4, 2: 7, 3: 0, 4: 3}",0
12,False,"{'a': 0.01, 'e': 0.9939560979566968}",20,0,-101.37768997889263,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
13,False,"{'a': 0.01, 'e': 0.9928086358538663}",20,0,-246.24857039389835,"{0: 7, 1: 1, 2: 7, 3: 1, 4: 4}",0
14,False,"{'a': 0.01, 'e': 0.9915618937147881}",20,0,-159.69550374883536,"{0: 8, 1: 4, 2: 5, 3: 1, 4: 2}",0
15,False,"{'a': 0.01, 'e': 0.9902159962126371}",20,0,-63.487539090788346,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
16,False,"{'a': 0.01, 'e': 0.9887710779360422}",25,0,-226.1643303086448,"{0: 12, 1: 3, 2: 6, 3: 0, 4: 4}",0
17,False,"{'a': 0.01, 'e': 0.9872272833756269}",25,0,-133.50392789178332,"{0: 15, 1: 0, 2: 7, 3: 2, 4: 1}",0
