trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.005, 'e': 1.0}",20,7,-35.12498289942942,"{0: 9, 1: 1, 2: 2, 3: 1, 4: 0}",1
2,False,"{'a': 0.005, 'e': 0.9999875000260416}",20,0,-127.73834977999076,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
3,False,"{'a': 0.005, 'e': 0.9999500004166653}",20,0,-61.219668090763825,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
4,False,"{'a': 0.005, 'e': 0.9998875021093592}",30,0,-117.57747246261387,"{0: 18, 1: 3, 2: 6, 3: 3, 4: 0}",0
5,False,"{'a': 0.005, 'e': 0.9998000066665778}",20,3,-81.80803122178193,"{0: 8, 1: 1, 2: 7, 3: 1, 4: 0}",1
6,False,"{'a': 0.005, 'e': 0.9996875162757026}",20,0,-107.27207332478714,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
7,False,"{'a': 0.005, 'e': 0.9995500337489875}",25,0,-89.38633465330844,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
8,False,"{'a': 0.005, 'e': 0.9993875625234886}",20,0,-77.91070713979444,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
9,False,"{'a': 0.005, 'e': 0.9992001066609779}",30,0,-127.68718815764115,"{0: 20, 1: 2, 2: 6, 3: 0, 4: 2}",0
10,False,"{'a': 0.005, 'e': 0.9989876708478425}",35,0,-271.0246283189372,"{0: 17, 1: 4, 2: 9, 3: 1, 4: 4}",0
11,False,"{'a': 0.005, 'e': 0.9987502603949663}",25,0,-145.34120257169857,"{0: 11, 1: 4, 2: 8, 3: 1, 4: 1}",0
12,False,"{'a': 0.005, 'e': 0.9984878812375985}",25,10,-33.3696327765089,"{0: 10, 1: 2, 2: 2, 3: 1, 4: 0}",1
13,False,"{'a': 0.005, 'e': 0.9982005399352042}",20,0,-106.78623780641712,"{0: 10, 1: 6, 2: 1, 3: 2, 4: 1}",0
14,False,"{'a': 0.005, 'e': 0.9978882436713011}",25,0,-123.99586115768177,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
15,False,"{'a': 0.005, 'e': 0.9975510002532796}",20,0,-145.1137593203031,"{0: 11, 1: 2, 2: 3, 3: 2, 4: 2}",0
16,False,"{'a': 0.005, 'e': 0.9971888181122075}",20,0,-111.53534042319407,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
17,False,"{'a': 0.005, 'e': 0.9968017063026194}",25,0,-184.78289988122657,"{0: 14, 1: 3, 2: 4, 3: 1, 4: 3}",0
18,False,"{'a': 0.005, 'e': 0.9963896745022904}",25,5,-81.82558671256626,"{0: 12, 1: 1, 2: 5, 3: 2, 4: 0}",1
19,False,"{'a': 0.005, 'e': 0.9959527330119943}",20,0,-32.3895349089615,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
20,False,"{'a': 0.005, 'e': 0.9954908927552453}",25,0,-130.7466706150061,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
21,False,"{'a': 0.005, 'e': 0.9950041652780257}",25,0,-114.97961896434582,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
22,False,"{'a': 0.005, 'e': 0.9944925627484974}",25,0,-111.05525937486735,"{0: 12, 1: 5, 2: 6, 3: 2, 4: 0}",0
23,False,"{'a': 0.005, 'e': 0.9939560979566968}",20,0,-43.51887777423873,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
24,False,"{'a': 0.005, 'e': 0.9933947843142158}",25,0,-208.79997664244965,"{0: 13, 1: 3, 2: 5, 3: 0, 4: 4}",0
25,False,"{'a': 0.005, 'e': 0.9928086358538663}",25,0,-101.89612685336027,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
26,False,"{'a': 0.005, 'e': 0.992197667229329}",20,0,-80.26397259758507,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
27,False,"{'a': 0.005, 'e': 0.9915618937147881}",20,0,-132.49872454897755,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
28,False,"{'a': 0.005, 'e': 0.9909013312045479}",20,0,-108.05578742572087,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
29,False,"{'a': 0.005, 'e': 0.9902159962126371}",20,0,-90.1681204644335,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
30,False,"{'a': 0.005, 'e': 0.9895059058723947}",20,0,-224.4512356535821,"{0: 7, 1: 3, 2: 4, 3: 3, 4: 3}",0
31,False,"{'a': 0.005, 'e': 0.9887710779360422}",20,0,-160.37383800625523,"{0: 9, 1: 2, 2: 6, 3: 1, 4: 2}",0
32,False,"{'a': 0.005, 'e': 0.9880115307742399}",20,11,13.483565299240723,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
33,False,"{'a': 0.005, 'e': 0.9872272833756269}",30,0,-114.01015607490247,"{0: 16, 1: 3, 2: 10, 3: 1, 4: 0}",1
34,False,"{'a': 0.005, 'e': 0.9864183553463477}",20,15,-34.704134680425845,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 1}",1
35,False,"{'a': 0.005, 'e': 0.9855847669095608}",20,0,-62.452044803257195,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
36,False,"{'a': 0.005, 'e': 0.9847265389049334}",25,17,-0.036138164387161886,"{0: 6, 1: 2, 2: 0, 3: 0, 4: 0}",1
37,False,"{'a': 0.005, 'e': 0.9838436927881214}",30,0,-76.95188239674344,"{0: 18, 1: 4, 2: 8, 3: 0, 4: 0}",0
38,False,"{'a': 0.005, 'e': 0.9829362506302315}",20,0,-34.260288268979544,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
39,False,"{'a': 0.005, 'e': 0.9820042351172703}",35,0,-149.372972051791,"{0: 22, 1: 4, 2: 7, 3: 0, 4: 2}",0
