trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.05, 'e': 1.0}",20,0,-88.7983965823182,"{0: 11, 1: 2, 2: 5, 3: 2, 4: 0}",0
2,False,"{'a': 0.05, 'e': 0.951229424500714}",20,0,-107.6117371483847,"{0: 10, 1: 5, 2: 3, 3: 1, 4: 1}",0
3,False,"{'a': 0.05, 'e': 0.9048374180359595}",20,0,-48.972548598740325,"{0: 14, 1: 2, 2: 2, 3: 2, 4: 0}",0
4,False,"{'a': 0.05, 'e': 0.8607079764250578}",20,0,-97.95792445920858,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
5,False,"{'a': 0.05, 'e': 0.8187307530779818}",25,0,-129.87189177650546,"{0: 12, 1: 3, 2: 9, 3: 0, 4: 1}",0
6,False,"{'a': 0.05, 'e': 0.7788007830714049}",30,0,-115.44986206722146,"{0: 21, 1: 3, 2: 3, 3: 1, 4: 2}",0
7,False,"{'a': 0.05, 'e': 0.7408182206817179}",20,0,-141.25769933995176,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
8,False,"{'a': 0.05, 'e': 0.7046880897187134}",25,0,-132.0659562176648,"{0: 13, 1: 3, 2: 7, 3: 1, 4: 1}",0
9,False,"{'a': 0.05, 'e': 0.6703200460356393}",20,0,-62.54496452643127,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
10,False,"{'a': 0.05, 'e': 0.6376281516217733}",20,0,-57.35184425982678,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
11,False,"{'a': 0.05, 'e': 0.6065306597126334}",20,0,-50.749737531058116,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
12,False,"{'a': 0.05, 'e': 0.5769498103804866}",20,0,-53.221240036526716,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
13,False,"{'a': 0.05, 'e': 0.5488116360940264}",25,0,-111.78300508829876,"{0: 19, 1: 0, 2: 3, 3: 1, 4: 2}",0
14,False,"{'a': 0.05, 'e': 0.522045776761016}",20,0,-52.143428190832296,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
15,False,"{'a': 0.05, 'e': 0.49658530379140947}",25,0,-46.543720967031284,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
