trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.0075, 'e': 1.0}",25,1,-115.07093803610485,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 2}",1
2,False,"{'a': 0.0075, 'e': 0.9999718751318357}",20,0,-110.89940366116988,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
3,False,"{'a': 0.0075, 'e': 0.9998875021093592}",25,0,-131.07303628466738,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
4,False,"{'a': 0.0075, 'e': 0.9997468856785308}",20,0,-97.94687132902278,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
5,False,"{'a': 0.0075, 'e': 0.9995500337489875}",20,0,-208.53434922857662,"{0: 9, 1: 2, 2: 5, 3: 0, 4: 4}",0
6,False,"{'a': 0.0075, 'e': 0.9992969573935987}",25,0,-152.53314554414914,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
7,False,"{'a': 0.0075, 'e': 0.9989876708478425}",25,0,-127.19062081930971,"{0: 13, 1: 1, 2: 10, 3: 0, 4: 1}",0
8,False,"{'a': 0.0075, 'e': 0.9986221915090054}",35,0,-255.2686451057061,"{0: 18, 1: 5, 2: 7, 3: 1, 4: 4}",0
9,False,"{'a': 0.0075, 'e': 0.9982005399352042}",20,0,-121.20698750944663,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
10,False,"{'a': 0.0075, 'e': 0.9977227398442284}",25,0,-129.46942281128972,"{0: 14, 1: 1, 2: 8, 3: 1, 4: 1}",0
11,False,"{'a': 0.0075, 'e': 0.9971888181122075}",30,0,-273.7528893849485,"{0: 14, 1: 5, 2: 6, 3: 0, 4: 5}",0
12,False,"{'a': 0.0075, 'e': 0.9965988047720977}",20,0,-175.48883597758362,"{0: 7, 1: 1, 2: 10, 3: 0, 4: 2}",0
13,False,"{'a': 0.0075, 'e': 0.9959527330119943}",20,0,-89.71072550920454,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
14,False,"{'a': 0.0075, 'e': 0.9952506391732631}",25,0,-128.729970743301,"{0: 11, 1: 2, 2: 11, 3: 1, 4: 0}",0
15,False,"{'a': 0.0075, 'e': 0.9944925627484974}",30,0,-170.82911910623585,"{0: 15, 1: 4, 2: 9, 3: 0, 4: 2}",0
16,False,"{'a': 0.0075, 'e': 0.9936785463792964}",20,0,-109.93996560058501,"{0: 9, 1: 3, 2: 6, 3: 2, 4: 0}",0
17,False,"{'a': 0.0075, 'e': 0.9928086358538663}",20,0,-122.46698342424538,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
18,False,"{'a': 0.0075, 'e': 0.9918828801044445}",25,0,-169.68011030371193,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
19,False,"{'a': 0.0075, 'e': 0.9909013312045479}",35,0,-165.6688811932135,"{0: 21, 1: 3, 2: 9, 3: 0, 4: 2}",0
