trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-145.4112379430194,"{0: 10, 1: 8, 2: 4, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-150.90427929773443,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-114.00626671192566,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",35,2,-151.47798310079793,"{0: 20, 1: 4, 2: 7, 3: 0, 4: 2}",1
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-164.62949018502522,"{0: 9, 1: 1, 2: 7, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,9,-79.72505263047755,"{0: 9, 1: 2, 2: 4, 3: 0, 4: 1}",1
7,False,"{'a': 0.5, 'e': 1.0}",20,9,-8.126853902324196,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-56.55283315407856,"{0: 13, 1: 3, 2: 2, 3: 2, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-92.06193791405039,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,17,-42.87135443484698,"{0: 7, 1: 1, 2: 5, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-56.26000547532433,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-115.38167019360482,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,0,-64.48448275103341,"{0: 20, 1: 5, 2: 4, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-151.1897929511958,"{0: 14, 1: 1, 2: 8, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-69.60119116788213,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-117.1328040522361,"{0: 13, 1: 5, 2: 5, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-90.50332865434783,"{0: 9, 1: 4, 2: 6, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-212.2552112317891,"{0: 6, 1: 4, 2: 6, 3: 1, 4: 3}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-247.50280583316408,"{0: 9, 1: 1, 2: 5, 3: 0, 4: 5}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-213.5535768942438,"{0: 17, 1: 2, 2: 6, 3: 2, 4: 3}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-166.26901998088,"{0: 9, 1: 0, 2: 8, 3: 1, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-255.42053423105722,"{0: 15, 1: 2, 2: 8, 3: 1, 4: 4}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-55.889822819155846,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-47.82713902992819,"{0: 14, 1: 3, 2: 1, 3: 2, 4: 0}",1
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-136.2051039324083,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-117.0753543732072,"{0: 10, 1: 6, 2: 2, 3: 0, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",30,0,-105.86744768017026,"{0: 17, 1: 4, 2: 7, 3: 2, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-81.18453179968726,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-192.0726508173942,"{0: 13, 1: 1, 2: 6, 3: 3, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-193.8400003659767,"{0: 17, 1: 2, 2: 7, 3: 1, 4: 3}",0
